material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,cbm,vbm,crystal_system,spacegroup,is_stable,cif_path
mp-36395,La2CdS4,1.997399999999999,-1.938104688571428,0.090265652142856,332.51451349667013,5.178477821270673,14,"['Cd', 'La', 'S']",7.1472,5.1498,Tetragonal,I-42d,False,data\candidates\cif\mp-36395.cif
mp-36912,Pr2CdS4,1.646999999999999,-1.814673069583331,0.09674520428571301,323.8092098448404,5.358766128542295,14,"['Cd', 'Pr', 'S']",5.2165,3.5695,Tetragonal,I-42d,False,data\candidates\cif\mp-36912.cif
mp-35281,Sm2CdS4,1.994,-1.842055654285713,0.095552811071429,310.3352266938511,5.793740629338958,14,"['Cd', 'S', 'Sm']",5.5639,3.5699,Tetragonal,I-42d,False,data\candidates\cif\mp-35281.cif
mp-37233,Nd2CdS4,1.9231,-1.8371262714285699,0.096072817499998,318.3997996459922,5.5193662229918,14,"['Cd', 'Nd', 'S']",5.4809,3.5578000000000003,Tetragonal,I-42d,False,data\candidates\cif\mp-37233.cif
mp-677075,Gd2CdS4,1.4199,-1.811448284464286,0.078185488214284,303.4532154411424,6.075949024321322,14,"['Cd', 'Gd', 'S']",5.0034,3.5835,Tetragonal,I-42d,False,data\candidates\cif\mp-677075.cif
mp-1222003,MgCdS2,0.8257000000000001,-1.166759557499999,0.09663548875000001,78.08407213660651,4.271199237494555,4,"['Cd', 'Mg', 'S']",4.344,3.5183,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1222003.cif
mp-1226795,CdPbS2,0.0,-0.6929490987499981,0.131478911249999,97.0047056729554,6.568927945665678,4,"['Cd', 'Pb', 'S']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1226795.cif
mp-17586,CdS2O7,4.2148,-1.771557907499998,0.0,556.5258846650862,3.443696990590733,40,"['Cd', 'O', 'S']",3.4337,-0.7811,Monoclinic,P2_1/c,True,data\candidates\cif\mp-17586.cif
mp-556680,CdSO3,3.2188,-1.632222597499999,0.09623067275000001,624.5645595014557,4.093872104016965,40,"['Cd', 'O', 'S']",4.0179,0.7991,Monoclinic,P2_1/c,False,data\candidates\cif\mp-556680.cif
mp-8516,CdSO3,3.334699999999999,-1.6321763404999992,0.096276929749999,300.59403038203004,4.253057560808945,20,"['Cd', 'O', 'S']",4.4084,1.0737,Monoclinic,P2_1/c,False,data\candidates\cif\mp-8516.cif
mp-1220444,Nb6CdS8,0.0,-1.261373705333332,0.033029042,276.0960494960852,5.571511734215976,15,"['Cd', 'Nb', 'S']",,,Trigonal,P-3,False,data\candidates\cif\mp-1220444.cif
mp-1104677,Cd(Mo3S4)2,0.0,-0.7451223788333321,0.034725188000003,282.4488995797229,5.553206434903141,15,"['Cd', 'Mo', 'S']",,,Trigonal,R-3,False,data\candidates\cif\mp-1104677.cif
mp-18634,CdSO3,3.0449,-1.629391631166666,0.09906163908333301,451.7822968281786,4.244667362884329,30,"['Cd', 'O', 'S']",4.152,1.1071,Trigonal,R-3,False,data\candidates\cif\mp-18634.cif
mp-9330,CdPS3,1.772699999999999,-0.526390780282737,0.0008031580000010001,228.04409683199663,3.489075664701975,10,"['Cd', 'P', 'S']",3.5098000000000003,1.7371,Trigonal,R-3,False,data\candidates\cif\mp-9330.cif
mp-1103054,CdSO4,1.5751,-1.639232371249999,0.185181738333334,181.73072420606096,3.809796705175912,12,"['Cd', 'O', 'S']",1.4426,-0.1325,Trigonal,P3m1,False,data\candidates\cif\mp-1103054.cif
mp-1215475,ZnCdS2,1.3281,-0.835809831584821,0.033843537678571005,92.37318525935787,4.349394535176201,4,"['Cd', 'S', 'Zn']",2.7696,1.4415,Trigonal,P3m1,False,data\candidates\cif\mp-1215475.cif
mp-1215784,Zn4CdS5,1.4555,-0.899259150691965,0.026221206785717002,432.0495160581378,4.10761058219897,20,"['Cd', 'S', 'Zn']",3.2524,1.7969,Trigonal,P3m1,False,data\candidates\cif\mp-1215784.cif
mp-1221643,MnCdS2,0.5464,-0.938738242526937,0.019745318749999,95.37614734660127,4.030148082254832,4,"['Cd', 'Mn', 'S']",3.0861,2.5397,Trigonal,P3m1,False,data\candidates\cif\mp-1221643.cif
mp-1221632,MnCdS2,0.45689999999999903,-0.9579262387769361,0.0005573225,96.2630768259419,3.993015910106178,4,"['Cd', 'Mn', 'S']",3.0521,2.5952,Trigonal,R3m,False,data\candidates\cif\mp-1221632.cif
mp-532059,Er2CdS4,1.096799999999999,-1.9143529824285692,0.038279522571429005,1776.026147992558,5.3778701752683284,70,"['Cd', 'Er', 'S']",3.0454,1.948599999999999,Trigonal,R3m,False,data\candidates\cif\mp-532059.cif
mp-20519,CdInS2,0.0,-0.539480680781249,0.19050193687500003,88.31211860986708,5.478444063184925,4,"['Cd', 'In', 'S']",,,Trigonal,P-3m1,False,data\candidates\cif\mp-20519.cif
